segundo,central,usuario,ip,expediente,carpeta_id,paquetes,intentos_login,cambios_archivos,salida_datos,cpu,potencia_cpu_watts,temperatura,temperatura_sin_enfriamiento,refrigeracion_activa,velocidad_ventilador,velocidad_refrigerante,presion_entrada_refrigerante,presion_salida_refrigerante,presion_refrigerante,incremento_presion_porcentaje,consumo_enfriamiento_watts,consumo_total_watts,flujo,primera_derivada_paquetes,primera_derivada_sigmoide,segunda_derivada_sigmoide,derivada_cpu,derivada_temperatura,senal_periodica,desviacion_periodica,indice_oscilatorio,incidente,tipo_incidente,estado,cifrado,direccion,direccion_servidor
11,CENTRAL_SUR,analista_criminalistica,192.168.3.10,acta_circunstanciada,CI-2026-800785,385,2,3,7,29.1,34.92,43.9,44.9,0,3.2,0,101325,101325,101325,0.0,149.92,149.92,175.25,228.0,227.05,227.97,5.5,3.2,-24.87,409.87,409.87,0,NINGUNO,NORMAL,NINGUNO,central_sur/ci-2026-800785/datos_11.log,http://servidor/central_sur/ci-2026-800785/datos_11.log
12,CENTRAL_SUR,investigador_sur,172.16.0.44,dictamen_pericial,CI-2026-294446,660,6,1,66,45.8,54.96,53.6,54.6,0,3.2,0,101325,101325,101325,0.0,169.96,169.96,308.55,275.0,274.63,36.07,16.7,9.7,-36.06,696.06,696.06,1,EXTRACCION_INFORMACION,SOSPECHOSO,CIFRADO,fhqwudo_vxu/fl-2026-294446/gdwrv_12.orj,http://servidor/central_sur/ci-2026-294446/datos_12.log
13,CENTRAL_NORTE,agente_norte_01,192.168.3.11,oficio_ministerial,CI-2026-501649,247,1,0,10,36.0,43.2,47.9,48.9,0,3.2,0,101325,101325,101325,0.0,158.2,158.2,112.9,-413.0,-0.02,-0.38,-9.8,-5.7,-44.02,291.02,291.02,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-501649/gdwrv_13.orj,http://servidor/central_norte/ci-2026-501649/datos_13.log
14,CENTRAL_SUR,investigador_sur,192.168.3.12,evidencia_digital,CI-2026-633495,139,1,0,4,26.2,31.44,42.2,43.2,0,3.2,0,101325,101325,101325,0.0,146.44,146.44,63.4,-108.0,-7.52,-3.41,-9.8,-5.7,-48.05,187.05,187.05,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_vxu/fl-2026-633495/gdwrv_14.orj,http://servidor/central_sur/ci-2026-633495/datos_14.log
15,CENTRAL_SUR,agente_sur_01,192.168.1.13,acta_circunstanciada,CI-2026-421036,352,2,1,11,23.6,28.32,40.7,41.7,0,3.2,0,101325,101325,101325,0.0,143.32,143.32,160.7,213.0,211.72,218.11,-2.6,-1.5,-47.78,399.78,399.78,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_vxu/fl-2026-421036/gdwrv_15.orj,http://servidor/central_sur/ci-2026-421036/datos_15.log
16,CENTRAL_SUR,analista_criminalistica,192.168.3.10,registro_detencion,CI-2026-260970,188,2,1,1,39.0,46.8,49.6,50.6,0,3.2,0,101325,101325,101325,0.0,161.8,161.8,85.4,-164.0,-3.14,-1.23,15.4,8.9,-43.25,231.25,231.25,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_vxu/fl-2026-260970/gdwrv_16.orj,http://servidor/central_sur/ci-2026-260970/datos_16.log
17,CENTRAL_NORTE,agente_norte_01,192.168.1.10,oficio_ministerial,CI-2026-171654,408,0,1,6,35.5,42.6,47.6,48.6,0,3.2,0,101325,101325,101325,0.0,157.6,157.6,184.65,220.0,218.89,220.96,-3.5,-2.0,-34.86,442.86,442.86,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-171654/gdwrv_17.orj,http://servidor/central_norte/ci-2026-171654/datos_17.log
18,CENTRAL_NORTE,agente_norte_01,192.168.2.11,registro_detencion,CI-2026-308207,326,2,1,10,26.2,31.44,42.2,43.2,0,3.2,0,101325,101325,101325,0.0,146.44,146.44,148.85,-82.0,-10.05,-0.94,-9.3,-5.4,-23.35,349.35,349.35,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-308207/gdwrv_18.orj,http://servidor/central_norte/ci-2026-308207/datos_18.log
19,CENTRAL_NORTE,analista_forense,192.168.3.14,registro_detencion,CI-2026-871088,323,1,1,12,39.2,47.04,49.7,50.7,0,3.2,0,101325,101325,101325,0.0,162.04,162.04,147.55,-3.0,-1.45,4.74,13.0,7.5,-9.76,332.76,332.76,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-871088/gdwrv_19.orj,http://servidor/central_norte/ci-2026-871088/datos_19.log
20,CENTRAL_CENTRO,analista_centro,192.168.3.10,evidencia_digital,CI-2026-758265,412,1,0,10,31.6,37.92,45.3,46.3,0,3.2,0,101325,101325,101325,0.0,152.92,152.92,187.15,89.0,79.6,70.91,-7.6,-4.4,4.71,407.29,407.29,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_fhqwur/fl-2026-758265/gdwrv_20.orj,http://servidor/central_centro/ci-2026-758265/datos_20.log
21,CENTRAL_CENTRO,perito_centro,192.168.2.15,dictamen_pericial,CI-2026-215187,173,2,2,12,27.8,33.36,43.1,44.1,0,3.2,0,101325,101325,101325,0.0,148.36,148.36,80.45,-239.0,-0.77,-10.2,-3.8,-2.2,18.75,154.25,154.25,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_fhqwur/fl-2026-215187/gdwrv_21.orj,http://servidor/central_centro/ci-2026-215187/datos_21.log
22,CENTRAL_NORTE,investigador_norte,192.168.3.12,evidencia_digital,CI-2026-578793,182,2,3,9,35.9,43.08,47.8,48.8,0,3.2,0,101325,101325,101325,0.0,158.08,158.08,84.2,9.0,4.98,3.07,8.1,4.7,31.12,150.88,150.88,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-578793/gdwrv_22.orj,http://servidor/central_norte/ci-2026-578793/datos_22.log
23,CENTRAL_NORTE,investigador_norte,192.168.1.12,registro_detencion,CI-2026-836725,141,2,1,5,38.3,45.96,49.2,50.2,0,3.2,0,101325,101325,101325,0.0,160.96,160.96,64.85,-41.0,-11.16,-6.53,2.4,1.4,40.71,100.29,100.29,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-836725/gdwrv_23.orj,http://servidor/central_norte/ci-2026-836725/datos_23.log
24,CENTRAL_SUR,analista_criminalistica,192.168.2.16,evidencia_digital,CI-2026-668351,123,1,0,3,36.0,43.2,47.9,48.9,0,3.2,0,101325,101325,101325,0.0,158.2,158.2,56.05,-18.0,-7.09,2.13,-2.3,-1.3,46.67,76.33,76.33,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_vxu/fl-2026-668351/gdwrv_24.orj,http://servidor/central_sur/ci-2026-668351/datos_24.log
25,CENTRAL_NORTE,investigador_norte,10.0.3.99,oficio_ministerial,CI-2026-269383,1050,2,2,87,38.0,45.6,49.0,50.0,0,3.2,0,101325,101325,101325,0.0,160.6,160.6,486.35,927.0,927.0,934.09,2.0,1.1,48.45,1001.55,1001.55,1,COPIA_EXPEDIENTE,SOSPECHOSO,CIFRADO,fhqwudo_qruwh/fl-2026-269383/gdwrv_25.orj,http://servidor/central_norte/ci-2026-269383/datos_25.log
26,CENTRAL_CENTRO,perito_centro,192.168.3.14,carpeta_investigacion,CI-2026-615037,215,0,2,2,30.4,36.48,44.6,45.6,0,3.2,0,101325,101325,101325,0.0,151.48,151.48,97.35,-835.0,-0.0,-0.0,-7.6,-4.4,45.91,169.09,169.09,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_fhqwur/fl-2026-615037/gdwrv_26.orj,http://servidor/central_centro/ci-2026-615037/datos_26.log
27,CENTRAL_NORTE,investigador_norte,192.168.2.14,acta_circunstanciada,CI-2026-273530,360,2,1,2,26.7,32.04,42.5,43.5,0,3.2,0,101325,101325,101325,0.0,147.04,147.04,162.95,145.0,140.67,136.02,-3.7,-2.1,39.26,320.74,320.74,0,NINGUNO,NORMAL,CIFRADO,fhqwudo_qruwh/fl-2026-273530/gdwrv_27.orj,http://servidor/central_norte/ci-2026-273530/datos_27.log
28,CENTRAL_CENTRO,analista_centro,10.0.1.12,acta_circunstanciada,CI-2026-192194,1540,14,2,154,50.2,60.24,56.1,57.1,0,3.2,0,101325,101325,101325,0.0,175.24,175.24,719.9,1180.0,1180.0,1039.33,23.5,13.6,29.11,1510.89,1510.89,1,EXTRACCION_INFORMACION,CRITICO,REFORZADO,zjcgwps_zjcgwh/zd-7375-067061/epghb_79.sht,http://servidor/central_centro/ci-2026-192194/datos_28.log
29,CENTRAL_NORTE,ext_user,10.0.2.7,oficio_ministerial,CI-2026-328880,88,20,2,9,25.6,30.72,41.8,42.8,0,3.2,0,101325,101325,101325,0.0,145.72,145.72,46.25,-1452.0,-0.0,-0.0,-24.6,-14.3,16.36,71.64,71.64,1,FUERZA_BRUTA,ALERTA,REFORZADO,zjcgwps_chwgj/zd-7375-479993/epghb_76.sht,http://servidor/central_norte/ci-2026-328880/datos_29.log
30,CENTRAL_CENTRO,analista_centro,10.0.1.12,registro_detencion,CI-2026-321676,1260,0,0,105,54.4,65.28,56.3,59.5,1,4.16,5.0,110700.0,101325,110700.0,9.25,409.32,409.32,582.75,1172.0,1172.0,1172.0,28.8,14.5,2.14,1257.86,1257.86,1,COPIA_EXPEDIENTE,CRITICO,REFORZADO,zjcgwps_zjcgwh/zd-7375-470525/epghb_43.sht,http://servidor/central_centro/ci-2026-321676/datos_30.log
31,CENTRAL_CENTRO,agente_centro_01,192.168.1.16,evidencia_digital,CI-2026-593818,89,0,1,7,30.4,36.48,44.6,45.6,0,3.2,0,101325,101325,101325,0.0,151.48,151.48,41.25,-1171.0,-0.0,-0.0,-24.0,-11.7,-12.26,101.26,101.26,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-864909/epghb_40.sht,http://servidor/central_centro/ci-2026-593818/datos_31.log
32,CENTRAL_CENTRO,anonymous,192.168.1.12,registro_detencion,CI-2026-446651,248,0,32,57,33.4,40.08,46.4,47.4,0,3.2,0,101325,101325,101325,0.0,155.08,155.08,124.95,159.0,155.57,151.94,3.0,1.8,-25.57,273.57,273.57,1,ELIMINACION_ARCHIVO,ALERTA,REFORZADO,zjcgwps_zjcgwh/zd-7375-115580/epghb_47.sht,http://servidor/central_centro/ci-2026-446651/datos_32.log
33,CENTRAL_SUR,agente_sur_01,172.16.0.44,oficio_ministerial,CI-2026-190291,1815,16,2,181,54.7,65.64,56.5,59.7,1,4.16,5.0,110700.0,101325,110700.0,9.25,409.68,409.68,848.2,1567.0,1567.0,1411.43,21.3,10.1,-36.59,1851.59,1851.59,1,EXTRACCION_INFORMACION,CRITICO,REFORZADO,zjcgwps_blw/zd-7375-063760/epghb_44.sht,http://servidor/central_sur/ci-2026-190291/datos_33.log
34,CENTRAL_CENTRO,analista_centro,192.168.2.11,carpeta_investigacion,CI-2026-415511,292,1,2,5,35.6,42.72,47.6,48.6,0,3.2,0,101325,101325,101325,0.0,157.72,157.72,132.7,-1523.0,-0.0,-0.0,-19.1,-8.9,-44.35,336.35,336.35,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-108800/epghb_41.sht,http://servidor/central_centro/ci-2026-415511/datos_34.log
35,CENTRAL_SUR,agente_sur_01,10.0.3.99,evidencia_digital,CI-2026-721554,1925,17,1,192,61.5,73.8,56.8,63.7,1,4.16,7.1,123405.0,101325,123405.0,21.79,705.38,705.38,899.45,1633.0,1633.0,1633.0,25.9,9.2,-48.15,1973.15,1973.15,1,EXTRACCION_INFORMACION,CRITICO,REFORZADO,zjcgwps_blw/zd-7375-270881/epghb_48.sht,http://servidor/central_sur/ci-2026-721554/datos_35.log
36,CENTRAL_SUR,agente_sur_01,10.0.2.7,acta_circunstanciada,CI-2026-103350,2340,1,1,12,69.9,83.88,56.8,68.5,1,4.16,8.9,137805.0,101325,137805.0,36.0,1167.12,1167.12,1055.2,415.0,414.98,-0.0,8.4,0.0,-47.64,2387.64,2387.64,1,ATAQUE_TRAFICO,CRITICO,REFORZADO,zjcgwps_blw/zd-7375-034483/epghb_45.sht,http://servidor/central_sur/ci-2026-103350/datos_36.log
37,CENTRAL_NORTE,agente_norte_01,192.168.1.10,oficio_ministerial,CI-2026-550567,388,0,1,8,38.2,45.84,49.2,50.2,0,3.2,0,101325,101325,101325,0.0,160.84,160.84,175.95,-1952.0,-0.0,-0.02,-31.7,-7.6,-42.88,430.88,430.88,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-883852/epghb_42.sht,http://servidor/central_norte/ci-2026-550567/datos_37.log
38,CENTRAL_NORTE,investigador_norte,192.168.2.13,evidencia_digital,CI-2026-956189,89,1,2,1,32.4,38.88,45.8,46.8,0,3.2,0,101325,101325,101325,0.0,153.88,153.88,40.75,-299.0,-0.23,-0.11,-5.8,-3.4,-34.29,123.29,123.29,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-685096/epghb_49.sht,http://servidor/central_norte/ci-2026-956189/datos_38.log
39,CENTRAL_NORTE,ghost_agent,192.168.1.13,evidencia_digital,CI-2026-312948,198,1,27,11,23.3,27.96,40.5,41.5,0,3.2,0,101325,101325,101325,0.0,142.96,142.96,95.05,109.0,101.58,93.67,-9.1,-5.3,-22.63,220.63,220.63,1,MODIFICACION_EVIDENCIA,ALERTA,REFORZADO,zjcgwps_chwgj/zd-7375-407619/epghb_46.sht,http://servidor/central_norte/ci-2026-312948/datos_39.log
40,CENTRAL_CENTRO,perito_centro,192.168.2.10,carpeta_investigacion,CI-2026-146755,359,2,2,3,28.7,34.44,43.6,44.6,0,3.2,0,101325,101325,101325,0.0,149.44,149.44,162.8,161.0,157.69,44.53,5.4,3.1,-8.96,367.96,367.96,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-015288/epghb_13.sht,http://servidor/central_centro/ci-2026-146755/datos_40.log
41,CENTRAL_CENTRO,analista_centro,172.16.0.44,oficio_ministerial,CI-2026-984680,1721,2,0,143,45.9,55.08,53.6,54.6,0,3.2,0,101325,101325,101325,0.0,170.08,170.08,796.4,1362.0,1362.0,1204.31,17.2,10.0,5.52,1715.48,1715.48,1,COPIA_EXPEDIENTE,CRITICO,REFORZADO,zjcgwps_zjcgwh/zd-7375-691593/epghb_10.sht,http://servidor/central_centro/ci-2026-984680/datos_41.log
42,CENTRAL_NORTE,ghost_agent,192.168.1.10,evidencia_digital,CI-2026-751859,196,1,29,11,40.3,48.36,50.4,51.4,0,3.2,0,101325,101325,101325,0.0,163.36,163.36,94.45,-1525.0,-0.0,-0.0,-5.6,-3.2,19.5,176.5,176.5,1,MODIFICACION_EVIDENCIA,ALERTA,REFORZADO,zjcgwps_chwgj/zd-7375-280986/epghb_17.sht,http://servidor/central_norte/ci-2026-751859/datos_42.log
43,CENTRAL_CENTRO,admin_ext,192.168.3.11,acta_circunstanciada,CI-2026-366566,132,0,43,77,38.7,46.44,49.4,50.4,0,3.2,0,101325,101325,101325,0.0,161.44,161.44,77.4,-64.0,-11.34,-4.9,-1.6,-1.0,31.74,100.26,100.26,1,ELIMINACION_ARCHIVO,ALERTA,REFORZADO,zjcgwps_zjcgwh/zd-7375-455855/epghb_14.sht,http://servidor/central_centro/ci-2026-366566/datos_43.log
44,CENTRAL_NORTE,analista_forense,192.168.1.11,dictamen_pericial,CI-2026-993651,257,0,0,12,25.1,30.12,41.6,42.6,0,3.2,0,101325,101325,101325,0.0,145.12,145.12,117.45,125.0,119.07,124.95,-13.6,-7.8,41.15,215.85,215.85,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-664580/epghb_11.sht,http://servidor/central_norte/ci-2026-993651/datos_44.log
45,CENTRAL_NORTE,agente_norte_01,172.16.0.44,evidencia_digital,CI-2026-596207,2475,22,2,247,69.5,83.4,56.9,68.3,1,4.16,8.8,136920.0,101325,136920.0,35.13,1134.33,1134.33,1156.6,2218.0,2218.0,2098.93,44.4,15.3,46.88,2428.12,2428.12,1,EXTRACCION_INFORMACION,CRITICO,REFORZADO,zjcgwps_chwgj/zd-7375-865732/epghb_18.sht,http://servidor/central_norte/ci-2026-596207/datos_45.log
46,CENTRAL_NORTE,analista_forense,192.168.2.11,dictamen_pericial,CI-2026-421438,80,2,2,11,21.3,25.56,39.4,40.4,0,3.2,0,101325,101325,101325,0.0,140.56,140.56,38.45,-2395.0,-0.0,-0.0,-48.2,-17.5,48.42,31.58,31.58,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-170149/epghb_15.sht,http://servidor/central_norte/ci-2026-421438/datos_46.log
47,CENTRAL_NORTE,investigador_norte,172.16.0.44,oficio_ministerial,CI-2026-245121,2585,23,0,258,79.3,95.16,56.7,74.0,1,4.16,10.6,154380.0,101325,154380.0,52.36,1918.17,1918.17,1207.7,2505.0,2505.0,2505.0,58.0,17.3,45.64,2539.36,2539.36,1,EXTRACCION_INFORMACION,CRITICO,REFORZADO,zjcgwps_chwgj/zd-7375-718070/epghb_12.sht,http://servidor/central_norte/ci-2026-245121/datos_47.log
48,CENTRAL_NORTE,ext_user,172.16.0.44,evidencia_digital,CI-2026-633024,321,33,3,4,32.4,38.88,45.8,46.8,0,3.2,0,101325,101325,101325,0.0,153.88,153.88,153.75,-2264.0,-0.0,-0.0,-46.9,-10.9,38.78,282.22,282.22,1,FUERZA_BRUTA,ALERTA,REFORZADO,zjcgwps_chwgj/zd-7375-544371/epghb_19.sht,http://servidor/central_norte/ci-2026-633024/datos_48.log
49,CENTRAL_CENTRO,ext_user,192.168.3.12,dictamen_pericial,CI-2026-533753,386,0,49,88,29.8,35.76,44.3,45.3,0,3.2,0,101325,101325,101325,0.0,150.76,150.76,194.25,65.0,53.71,42.11,-2.6,-1.5,28.45,357.55,357.55,1,ELIMINACION_ARCHIVO,ALERTA,REFORZADO,zjcgwps_zjcgwh/zd-7375-844284/epghb_16.sht,http://servidor/central_centro/ci-2026-533753/datos_49.log
50,CENTRAL_CENTRO,perito_centro,192.168.1.17,acta_circunstanciada,CI-2026-698961,176,1,1,4,31.8,38.16,45.4,46.4,0,3.2,0,101325,101325,101325,0.0,153.16,153.16,80.2,-210.0,-1.35,-11.59,2.0,1.1,15.59,160.41,160.41,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-569650/epghb_83.sht,http://servidor/central_centro/ci-2026-698961/datos_50.log
51,CENTRAL_NORTE,agente_norte_01,192.168.1.14,evidencia_digital,CI-2026-909953,175,0,2,12,22.8,27.36,40.2,41.2,0,3.2,0,101325,101325,101325,0.0,142.36,142.36,80.85,-1.0,-0.49,0.43,-9.0,-5.2,1.33,173.67,173.67,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-636684/epghb_80.sht,http://servidor/central_norte/ci-2026-909953/datos_51.log
52,CENTRAL_CENTRO,analista_centro,192.168.3.10,oficio_ministerial,CI-2026-718421,289,1,3,5,32.6,39.12,45.9,46.9,0,3.2,0,101325,101325,101325,0.0,154.12,154.12,131.5,114.0,107.06,99.98,9.8,5.7,-13.05,302.05,302.05,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-209170/epghb_87.sht,http://servidor/central_centro/ci-2026-718421/datos_52.log
53,CENTRAL_NORTE,analista_forense,192.168.1.16,dictamen_pericial,CI-2026-914207,376,1,2,9,27.0,32.4,42.7,43.7,0,3.2,0,101325,101325,101325,0.0,147.4,147.4,171.1,87.0,77.41,-9.76,-5.6,-3.2,-26.26,402.26,402.26,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-601732/epghb_84.sht,http://servidor/central_norte/ci-2026-914207/datos_53.log
54,CENTRAL_NORTE,ext_user,10.0.3.99,acta_circunstanciada,CI-2026-844706,2052,21,1,4,53.5,64.2,55.8,59.0,1,4.16,5.0,110700.0,101325,110700.0,9.25,408.24,408.24,929.4,1676.0,1676.0,1598.59,26.5,13.1,-37.12,2089.12,2089.12,1,ACCESO_NO_AUTORIZADO,CRITICO,REFORZADO,zjcgwps_chwgj/zd-7375-911235/epghb_81.sht,http://servidor/central_norte/ci-2026-844706/datos_54.log
55,CENTRAL_SUR,analista_criminalistica,192.168.1.13,oficio_ministerial,CI-2026-197824,247,0,2,7,33.9,40.68,46.7,47.7,0,3.2,0,101325,101325,101325,0.0,155.68,155.68,112.5,-1805.0,-0.0,-0.0,-19.6,-9.1,-44.67,291.67,291.67,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_blw/zd-7375-062971/epghb_88.sht,http://servidor/central_sur/ci-2026-197824/datos_55.log
56,CENTRAL_SUR,agente_sur_01,192.168.2.14,acta_circunstanciada,CI-2026-808075,137,1,2,9,37.2,44.64,48.6,49.6,0,3.2,0,101325,101325,101325,0.0,159.64,159.64,63.55,-110.0,-7.33,-3.34,3.3,1.9,-48.23,185.23,185.23,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_blw/zd-7375-939328/epghb_85.sht,http://servidor/central_sur/ci-2026-808075/datos_56.log
57,CENTRAL_CENTRO,analista_centro,192.168.2.16,evidencia_digital,CI-2026-113363,259,0,1,12,39.1,46.92,49.7,50.7,0,3.2,0,101325,101325,101325,0.0,161.92,161.92,118.5,122.0,115.8,117.04,1.9,1.1,-47.48,306.48,306.48,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_zjcgwh/zd-7375-004454/epghb_82.sht,http://servidor/central_centro/ci-2026-113363/datos_57.log
58,CENTRAL_NORTE,analista_forense,192.168.3.17,evidencia_digital,CI-2026-381641,320,0,3,10,43.1,51.72,52.0,53.0,0,3.2,0,101325,101325,101325,0.0,166.72,166.72,145.95,61.0,49.54,-11.22,4.0,2.3,-42.49,362.49,362.49,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-490510/epghb_89.sht,http://servidor/central_norte/ci-2026-381641/datos_58.log
59,CENTRAL_SUR,investigador_sur,192.168.1.12,dictamen_pericial,CI-2026-674654,140,1,0,10,39.3,47.16,49.8,50.8,0,3.2,0,101325,101325,101325,0.0,162.16,162.16,64.75,-180.0,-2.36,-11.6,-3.8,-2.2,-33.71,173.71,173.71,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_blw/zd-7375-521581/epghb_86.sht,http://servidor/central_sur/ci-2026-674654/datos_59.log
60,CENTRAL_NORTE,analista_forense,192.168.3.13,evidencia_digital,CI-2026-349093,347,2,2,1,38.5,46.2,49.3,50.3,0,3.2,0,101325,101325,101325,0.0,161.2,161.2,157.1,207.0,205.57,206.52,-0.8,-0.5,-21.91,368.91,368.91,0,NINGUNO,NORMAL,REFORZADO,zjcgwps_chwgj/zd-7375-416364/epghb_53.sht,http://servidor/central_norte/ci-2026-349093/datos_60.log
